"season" "size" "speed" "mxPH" "mnO2" "Cl" "NO3" "NH4" "oPO4" "PO4" "Chla" "a1"
"spring" "medium" "high" 7.4 9 13.75 5.268 58.75 56.25 64 2.5 9.24727
"spring" "medium" "high" 7.8 8.3 51.5 2.098 30.2 24.6 184.4 31.3 6.98682
"autumn" "small" "high" 7.91 11.2 5 1.383 6 24.333 30 32 44.23518
"autumn" "medium" "high" 8.87 11 41.163 2.273 54.75 39 72.696 22.7 0
"winter" "medium" "high" 7.4 8.9 13.5 5.442 123.333 27.667 104 21 12.6
"winter" "small" "medium" 7.5 1.5 32.4 0.921 1386.25 220.75 351.60001 10 0
"autumn" "small" "medium" 8.06 9 55.35 10.416 233.7 58.222 97.58 10.5 9.2
"spring" "small" "high" 8.3 12.7 27 4.04 10 363 482 6 18.05537
"winter" "medium" "medium" 8.1 8.1 136 3.773 245 136.75 249.25 20.87 1.9
"winter" "small" "low" NA 12.6 9 0.23 10 5 6 1.1 35.5
"winter" "small" "high" 8.25 13.1 65.75 9.248 430 18.25 56.667 28.4 15.1
"spring" "large" "medium" 8.61 10.1 3.518 0.663 12.22 3.222 7 1.3 28.29993
"autumn" "small" "high" 7.4 12.5 13 3.33 60 72 142 4.9 3.4
"winter" "large" "low" 8.43 10.8 35.642 6.225 134 103.5 89.167 45.375 -0.84452
"winter" "medium" "low" 7.7 5.3 65.333 2.899 371.11099 51.111 183.66701 17.2 58.7
"autumn" "medium" "low" 8.3 8.8 64.768 6.272 357.167 219 302.5 8.267 10.11673
"summer" "small" "medium" 7.8 7.1 32.54 1.72 2167.37012 151.125 279.06601 13.1 25.5
"spring" "medium" "medium" 8 9.2 39 4.86 120 187 213 2 10.3
"winter" "small" "high" 6.6 10.8 NA 3.245 10 1 6.5 NA 24.3
"spring" "large" "medium" 8.5 8.5 4.025 0.825 23.636 5.583 31.091 2.4 20.6867
"spring" "medium" "high" 8.3 7.7 10.078 1.212 103.333 48.667 82.444 2 4.1
"winter" "medium" "medium" 7.9 9.8 194.75 6.513 3466.65991 23 173.75 15.3 0
"summer" "large" "medium" 8 9.1 15.375 2.118 43.75 48.875 86.5 8.125 41.58183
"spring" "medium" "high" 7.8 9.5 8.3 1.67 34 16.8 35.2 1 19
"winter" "small" "medium" 8.7 3.4 21.95 0.886 102.75 36.3 71 5.544 25.4
"winter" "small" "high" 8.1 10.3 26 3.78 60 246 304 2.8 6.9
"summer" "medium" "high" 8.1 9.4 11 2.251 48.75 17.375 66.875 2.5 24.26983
"summer" "medium" "high" 8.16 11.1 32.056 5.694 461.875 71 132.54601 15 3.6
"spring" "small" "medium" 7.9 8.6 27.65 2.063 62.5 7.75 30 4.5 35.11472
"autumn" "small" "high" 7.82 11.5 8.18 1.488 39 16 139.5 0.4 45.64584
"spring" "large" "low" 8.6 3.6 50 0.376 134 54.1 125.8 26.8 0
"summer" "medium" "medium" 8.1 9 48.429 6.64 128.571 181 222.286 6.429 3.3
"autumn" "small" "high" 7.75 10.3 32.92 2.942 42 16 40 7.6 23.2
"autumn" "small" "medium" 6.6 11.3 NA 4.17 10 1 6 NA 47.1
"winter" "small" "medium" 7.83 10.7 88 4.825 1729 467.5 586 16 0
"winter" "medium" "low" 8 4.5 79.077 8.984 920 70 200.231 19.4 2.5
"summer" "large" "medium" 7.91 6.2 151.83299 3.923 1081.66003 346.16699 388.16699 5.083 1.7
"summer" "medium" "medium" 8.1 6.2 51.113 5.099 175 132.5 197.14301 6.4 1.4
"spring" "small" "high" 7.7 10.2 8 1.527 21.571 12.75 20.75 0.8 16.6
"winter" "large" "low" 8.7 11.7 21.4656 3.765 91.45 38 83 17 28.248
"winter" "medium" "high" 7.9 6.3 101.875 3.978 153.75 51.75 205.875 2 4
"spring" "medium" "medium" 7.8 10.4 49 7.557 6433.33 170.667 341 2.3 9.48361
"summer" "small" "high" 7 12.1 3.136 1.208 16.2 1.8 2.5 0.5 64.2
"spring" "medium" "high" 8.26 5 44.818 0.526 97.273 105.455 181.636 20.6 4.85178
"spring" "small" "medium" 7.7 6.8 65 1.833 782.5 77.25 340 9 26.316
"winter" "medium" "medium" 8.2 9.4 45.273 7.195 345.45499 144 287 9.882 1.4
"spring" "small" "high" 6.6 9.5 NA 1.32 20 1 6 NA 46.8
"spring" "large" "low" 9 5.8 NA 0.9 142 102 186 68.05 1.7
"winter" "large" "high" 8.5 10.1 3 0.851 37.778 10.778 23.889 0.5 22.01554
"autumn" "large" "low" 8.1 9.07 71.39 2.904 1768.8 27.6 123.06 41.54 35.91009
"summer" "small" "medium" 8 7.2 80 1.957 174.286 47.857 113.714 4.5 16.85162
"spring" "small" "medium" 7.5 1.8 29.775 1.051 2082.8501 209.85699 313.60001 1 1.9
"summer" "small" "medium" 8.15 7.1 54.19 3.829 647.57001 59.429 175.04601 13.2 0
"winter" "small" "high" 8.3 7.7 50 8.543 76 264.89999 344.60001 22.5 0
"autumn" "medium" "high" 7.9 11.9 11.862 2.209 128.636 48.091 69.079 2.755 8.69508
"spring" "large" "high" 8.1 10.7 3.5 1.013 12.5 12.75 11 0.6 37.3
"winter" "medium" "high" 8.22 8.1 41.25 1.415 172.5 46.667 123.333 30.4 39.7
"spring" "medium" "medium" 9 6.9 28.333 2.954 76.667 102.333 277.33301 110.456 0
"spring" "medium" "high" 7.8 10.5 70 2.443 98.333 144.66701 244 9 0
"summer" "large" "medium" 8.22 9.5 2.3 0.672 9.87 4 6.123 0.8 31.86998
"spring" "small" "medium" 6.5 10.4 NA 5.97 10 2 14 NA 66.9
"summer" "medium" "high" 7.3 10.5 11.088 1.374 92.375 48.625 66.75 3.3 1.2
"summer" "large" "medium" 8.2 9.5 2.2 0.672 10 3.8 6.2 0.8 50.4
"autumn" "small" "high" 8.05 10.6 59.067 4.99 205.66701 44.667 77.434 6.9 18.2
"summer" "large" "high" 7.8 10.4 22.5 4.72 178.75 116.5 201 2.7 -10.63233
"winter" "small" "high" 7.9 9.6 3 1.448 46.2 13 61.6 0.3 52.2
"winter" "medium" "medium" 7.8 3.6 48.667 4.03 5738.33008 412.33301 607.16699 4.3 0
"winter" "medium" "low" 9.1 5.4 61.05 0.308 105.556 104.222 239 72.478 3.6
"spring" "small" "high" 7.2 11.3 8.97 0.23 134.5 13 19 4.5 27.29515
"summer" "small" "high" 7.99 10.7 4 1.368 117 17.25 44.75 0.8 -3.32011
"summer" "medium" "medium" 8.3 8.9 271.5 6.315 375 169 313.5 2.8 -11.44424
"spring" "medium" "high" 8.2 11.3 7.25 1.875 25 6.5 26 0.3 46.6
"autumn" "medium" "high" 8.3 8.6 75 5.18 560 30.5 170 16.7 4.14483
"autumn" "large" "low" 8.3 8.9 42.058 5.922 116.727 150.583 220.723 6.7 7.11989
"autumn" "small" "medium" 7.8 6.9 31.375 0.933 2138.57 152.429 317.5 15.4 19.67059
"spring" "large" "medium" 8.2 8.2 7.333 1.003 37.778 19.111 120.889 5.111 2.2
"spring" "medium" "medium" 7.5 8.9 55.8 4.408 389 127.4 206.2 5 -8.1437
"summer" "medium" "low" 8.2 6.6 131.39999 4.188 92 238.2 320.39999 6.8 1.2
"autumn" "large" "low" 8.4 10.6 19.22 1.655 96.833 20.667 54.916 20.6 0
"summer" "small" "medium" 8.37 12.1 12.85 0.84 15 5 10.507 13.8 20.98241
"summer" "small" "high" 6.6 10.8 NA 2.64 10 2 11 NA 46.9
"autumn" "large" "high" 8.7 10.7 4.545 0.941 32.727 16 21.3 1.1 39.7
"autumn" "medium" "medium" 8.1 11.7 35.66 5.13 46.5 49 88.5 2.5 1.5
"autumn" "medium" "medium" 7.8 10.53 100.83 5.41 486.5 24 58.374 27.5 2.8
"winter" "small" "high" 7.62 8.5 11.867 1.715 208.33299 3 27.5 1.7 74.2
"summer" "large" "low" 7.9 5.3 48 0.513 138.333 61.333 89.167 4 26.3061
"summer" "medium" "high" 7.87 1.8 49.25 0.611 357.125 128.25 185.125 4.5 -5.39904
"summer" "medium" "high" 7.5 10.8 10.357 3.35 127.667 22 34.321 1.2 64.15982
"spring" "small" "high" 8.3 8.8 54.143 7.83 51.429 276.85001 326.85699 11.84 4.1
"winter" "large" "low" 8.7 5.4 48 1.139 144.286 36.714 66.833 22.017 -7.10609
"summer" "medium" "high" 8.11 6.6 49.857 0.993 194.28 77 197.571 13 12.82172
"winter" "large" "high" 8.1 10.9 9.056 0.825 41 20 58 4.5 20.71463
"winter" "large" "medium" 8.5 10.5 2.75 0.758 10.5 4 7.654 4 56.8
"summer" "small" "medium" 7.95 5.7 57.333 2.46 273.333 295.667 380 4.5 15.56959
"winter" "small" "high" 8.1 9.8 14.34 0.73 22.5 23 45.5 0.85 55.80338
"winter" "small" "high" 7.93 9.9 8 1.39 5.8 27.25 46.6 0.8 17
"winter" "large" "low" 8.3 11.5 26 1.87 62.5 30.75 75.333 34.75 0
"summer" "small" "high" 6.78 10.2 10.704 1.46 46 3 13.714 0.7 29.14239
"summer" "small" "high" 7.19 11.7 4.326 1.474 160 2.5 7.2 0.3 15.8
"spring" "medium" "high" 7.8 6.3 136.667 3.734 154.444 35.556 175.333 2.7 9.37844
"autumn" "medium" "low" 7.8 6.5 64.093 7.74 1990.16003 47.5 276 8.1 6.5
"winter" "large" "medium" 9.06 6.35 187.183 3.351 54.778 159.16701 221.278 20.8 0
"spring" "small" "high" 7.2 9.2 0.8 0.642 81 15.6 18 0.5 15.5
"autumn" "large" "medium" 8.4 11.43 4.966 0.969 24.111 6 18.167 2.133 51.36193
"winter" "large" "medium" 8.35 2.75 97.733 3.681 137.444 91 155.556 2.744 22.74905
"autumn" "small" "high" 8 12.1 66.3 4.535 39 16 39 0.8 54.4
"autumn" "small" "high" 7.55 11.5 4.7 1.32 14.75 4.25 98.25 1.1 69.9
"autumn" "small" "medium" 8.02 9.4 18.74 1.598 6249.6 455.8 690.6 2 12.19849
"winter" "large" "medium" 8.5 11.4 3 0.774 10.909 3.727 8.091 3.6 4.33323
"autumn" "small" "medium" 7.8 9.1 36.124 5.974 169 13.091 71.057 3.3 31.18982
"spring" "medium" "high" 7.4 9.8 11 3.235 255 38.75 56.667 2 10.8
"spring" "medium" "low" 8.4 5.3 74.667 3.9 131.66701 261.60001 432.909 24.917 1.9
"summer" "small" "high" 7.72 11.8 6.3 1.47 8 16 15 0.5 31.1
"autumn" "large" "low" 8.35 11.1 22.56 3.14 76.2 41 98.665 17.456 41.11756
"autumn" "large" "low" 8.53 11.1 63.292 1.726 227.60001 84.3 146.452 21.22 1.4
"summer" "small" "high" 6.92 11.1 9.1 0.63 21 5 89.167 2.46 29.43744
"winter" "large" "medium" 8.4 10.5 12.182 1.519 65.455 19.727 50.455 8.155 2.9
"spring" "small" "high" 7.2 11.3 9 0.23 120 12 19 0.5 33.9
"autumn" "small" "high" 7.83 11.7 4.083 1.328 18 3.333 6.667 NA 14.4
"autumn" "small" "medium" 8.4 9.9 34.5 2.818 3515 20 47 2.3 13.6
"winter" "small" "high" 7.09 8.4 10.5 1.572 28 4 13.6 0.5 29.7
"spring" "small" "high" 7.9 9 5.273 0.91 33.636 9 11.818 0.8 54
"winter" "large" "medium" 8.24 6.1 95.367 3.561 1168 236.39999 272.22198 20.578 2.5
"summer" "small" "high" 7.35 10.4 7 1.718 49 41.5 61.5 0.8 50.6
"summer" "medium" "medium" 8.2 11.2 36 4.4 32.5 108 155.5 3 47.82684
"winter" "medium" "high" 8.8 8.5 53.333 5.132 96.667 120.5 232.83299 31 1.2
"autumn" "small" "high" 8.2 11.3 6 1.56 10 2 5 4.5 35.82684
"summer" "medium" "medium" 7.8 8.8 29.078 2.823 263.556 27 95.12 11.5 21.29133
"autumn" "medium" "medium" 8 11.9 130.67 6.54 196 75 84 4.5 7.8
"spring" "small" "high" 8.3 12.5 87 4.87 22.5 27 43.5 3.3 29.5
"winter" "medium" "high" 8.2 11.9 12.25 2.348 121.875 14 27.5 4.6 27.48049
"autumn" "large" "low" 8.06 8.3 38.902 3.678 627.27301 205.636 219.909 6.209 0
"winter" "medium" "high" 9.7 10.8 0.222 0.406 10 22.444 10.111 NA 41
"winter" "medium" "medium" 7.7 7.1 63.625 3.14 122.5 28.625 186.5 30 16.5
"autumn" "medium" "low" 8.5 10.5 56.717 0.33 215.714 23 138.5 20.829 5.7
"winter" "large" "medium" 8.6 10.4 15.182 2.502 140.909 31.909 77.7 15.318 5.61236
"summer" "medium" "high" 8.6 10.7 12 2.231 43.75 62.625 89.625 2.15 3.3
"autumn" "large" "medium" 8.03 7.83 83.023 4.065 1222.81 240.545 269.091 6.809 -1.19169
"autumn" "large" "low" 8.84 12.9 43.09 0.846 52.2 8.6 46.438 81.54 3.4
"autumn" "large" "high" 8 10.98 9.7 0.874 67.7 26.6 51.034 2.2 23.99683
"spring" "small" "medium" 7.79 3.2 64 2.822 8777.59961 564.59998 771.59998 4.5 0
"winter" "small" "medium" 8.3 8.9 20.625 3.414 228.75 196.62 253.25 12.32 2
"autumn" "medium" "medium" 8.1 9.8 29.5 1.287 224.286 25.167 102.333 3.6 64.9
"autumn" "small" "medium" 5.7 10.8 NA 2.55 10 1 4 NA 16.8
